trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02411260000008042,,0.0045506999995268416,5,0.02411260000008042,0.02411260000008042,0.015540999997028848,1.3472684000007575,[0.18888888888888888],[0.019444444444444445],[1],[0],[0],[1.3309685999993235],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
1,0,1,0,1.3755332000000635,,1.3597826000004716,5,1.3755332000000635,1.3755332000000635,0.01110530000005383,2.4470070999996096,[0.09814814814814815],[-0.07037037037037037],[1],[0],[0],[1.0760899999986577],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
2,0,2,0,2.480833800000255,,2.4491230999992695,10,2.480833800000255,2.480833800000255,0.021314900001016213,4.245500600001833,[0.43703703703703706],[-0.43703703703703706],[1],[0],[0],[1.7751430999996956],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
3,0,3,0,4.28272410000136,,4.247736299999815,10,4.28272410000136,4.28272410000136,0.02054370000041672,6.726849599999696,[0.42685185185185187],[0.3055555555555556],[1],[0],[0],[2.4587066999993112],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
4,0,4,0,6.7469044999998005,,6.729883600000903,5,6.7469044999998005,6.7469044999998005,0.012650699998630444,7.859866599999805,[-0.1388888888888889],[0.1962962962962963],[1],[0],[0],[1.11769170000116],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
5,0,5,0,7.8976371999997355,,7.862477400001808,10,7.8976371999997355,7.8976371999997355,0.023482200002035825,8.992841999999655,[0.4],[0.2759259259259259],[1],[0],[0],[1.1075362999981735],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
6,0,6,0,9.013394900001003,,8.995156699998915,5,9.013394900001003,9.013394900001003,0.012524800000392133,10.458612400001584,[-0.037037037037037035],[-0.17222222222222222],[1],[0],[0],[1.451110100002552],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
7,0,7,0,10.495330800000374,,10.461792900001456,10,10.495330800000374,10.495330800000374,0.02294629999960307,11.824243800001568,[0.21481481481481482],[0.19166666666666668],[1],[0],[0],[1.3396697000025597],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
8,0,8,0,11.84555900000123,,11.82764429999952,5,11.84555900000123,11.84555900000123,0.012738099998387042,12.823424000001978,[0.275],[0.2814814814814815],[1],[0],[0],[0.9835198000000673],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
9,0,9,0,12.844459800002369,,12.825650300001143,5,12.844459800002369,12.844459800002369,0.012167100001533981,13.873634300001868,[0.42777777777777776],[0.11944444444444445],[1],[0],[0],[1.0360140999982832],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
10,0,10,0,13.912016099999164,,13.875778500001616,10,13.912016099999164,13.912016099999164,0.02354620000187424,16.75467370000115,[0.26296296296296295],[-0.3907407407407407],[1],[0],[0],[2.8555108000000473],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
